GeneID	PPDE	FC
b0313	0.9984326395129049513954555550299119204282761	 0.9611787182
b0325	0.9918976845620269822134673631808254867792130	-1.3175291044
b0329	0.9947803394532029885866108998015988618135452	-2.2802138064
b0333	0.9545523057130520516722071988624520599842072	-0.5533677982
b0336	0.9982022943093520339630231319461017847061157	-3.1905218620
b0337	0.9882805658681480531768670516612473875284195	-2.4074568092
b0342	0.9991940889896809840919900125300046056509018	-2.1024703901
b0343	0.9989383477847649794867379569041077047586441	-3.2202445103
b0344	0.9994272331926360442011514351179357618093491	-3.9633709202
b0346	0.9874313551051210335884888991131447255611420	-0.9078583323
b0356	0.9887997550847420491493267036275938153266907	-1.0416078009
b0365	0.9924230845417200130853530026797670871019363	-2.4583175328
b0366	0.9923694938741149940142349805682897567749023	-1.4037005196
b0367	0.9893610805434519539502957741206046193838120	-1.3986088956
b0368	0.9863737667239089734749768467736430466175079	-1.3428901521
b0379	0.9900527231109159664868002437287941575050354	-1.0519032907
b0382	0.9878451856453369650523654854623600840568542	-0.9539344968
b0384	0.9982999939300279956810868497996125370264053	-1.5883030284
b0389	0.9624563353973389911999447576818056404590607	-0.6049097218
b0390	0.9931735431810020386933501868043094873428345	-1.3935759467
b0391	0.9944738934960469789459125422581564635038376	-1.1927026374
b0401	0.9979582132289209761566439738089684396982193	 0.9473198419
b0402	0.9998612051356789987011097764479927718639374	 1.3338672661
b0405	0.9642575385515249619672317749063950031995773	 1.0246655678
b0411	0.9854351357076329698259087308542802929878235	-0.7798207768
b0415	0.9926341594147489733046541005023755133152008	 0.6645060590
b0415	0.9926341594147489733046541005023755133152008	 0.6645060590
b0415	0.9926341594147489733046541005023755133152008	 0.6645060590
b0415	0.9926341594147489733046541005023755133152008	 0.6645060590
b0415	0.9926341594147489733046541005023755133152008	 0.6645060590
b0416	0.9952235597144849510442554674227721989154816	 0.8779457025
b0417	0.9981076503972069469128314267436508089303970	 0.9405708435
b0419	0.9935783227905640169197454270033631473779678	-1.8226061228
b0423	0.9537390002751769957356486884236801415681839	 0.5125489224
b0427	0.9970942432098449659250150034495163708925247	 0.7530561995
b0428	0.9990176506092439678852201723202597349882126	 1.0432906679
b0429	0.9995328218152550459052463338593952357769012	 1.2315316681
b0430	0.9998743739682689479764121642801910638809204	 1.5106008630
b0431	0.9997628981270330061903450769023038446903229	 1.1897896736
b0432	0.9985519832901720294060510241251904517412186	 1.0592012529
b0433	0.9983668342912159765489832352614030241966248	 0.8973450780
b0435	0.9926255126100169690062102745287120342254639	-1.9772329439
b0442	0.9924957165748909959646084644191432744264603	 0.7682633542
b0448	0.9941586601391270150429591012652963399887085	 0.8825287768
b0449	0.9818875191341740471528964917524717748165131	 0.7280795810
b0453	0.9642487660788250369847673937329091131687164	-0.7162117481
b0465	0.9628862044944960230097308340191375464200974	 0.5583680625
b0469	0.9657604348613439970705485393409617245197296	 0.7317138622
b0473	0.9890548071312980082936405779037158936262131	-1.3898142297
b0477	0.9988242411247310048594272302580066025257111	 1.3729481192
b0478	0.9743568797915339585458127658057492226362228	-1.0111324053
b0485	0.9933295028585440444857113106991164386272430	-2.8579577060
b0486	0.9963139609241880023660087317693978548049927	-2.1280319021
b0492	0.9602042442161540236611472209915518760681152	-0.9343831414
b0495	0.9663490394135689776078379509272053837776184	-0.8141936538
